,symbol,company_name,industry,market_cap
1790,DYNT,Dynatronics,Health Care Equipment & Supplies,11060000.0
1791,DZSI,"DZS, Inc.",Communications Equipment,384690000.0
1792,E,Eni SpA,"Oil, Gas & Consumable Fuels",51820000000.0
1793,EA,Electronic Arts,Entertainment,35140000000.0
1794,EAC,Edify Acquisition,Blank Check / SPAC,338100000.0
1795,EAF,GrafTech International,Electrical Equipment,2170000000.0
1796,EAR,Eargo,Medical Devices,50260000.0
1797,EARN,Ellington Residential Mortgage REIT,Mortgage Real Estate Investment Trust...,107110000.0
1798,EAST,Eastside Distilling,Beverages,11220000.0
1799,EAT,Brinker International,"Hotels, Restaurants & Leisure",1500000000.0
1800,EB,Eventbrite,Interactive Media & Services,1140000000.0
1801,EBAC,European Biotech Acquisition,Blank Check / SPAC,160710000.0
1802,EBAY,eBay Inc.,Internet & Direct Marketing Retail,26120000000.0
1803,EBC,Eastern Bankshares,Banks,3470000000.0
1804,EBET,"EBET, INC.",Gambling,39190000.0
1805,EBF,Ennis,Commercial Services & Supplies,453690000.0
1806,EBIX,"Ebix, Inc.",Software,928380000.0
1807,EBMT,Eagle Bancorp Montana,Banks,156080000.0
1808,EBON,Ebang International Holdings,Computer Hardware,137820000.0
1809,EBR,Centrais Eletricas Brasileiras,Electric Utilities,12830000000.0
1810,EBS,Emergent BioSolutions,Biotechnology,1440000000.0
1811,EBTC,Enterprise Bancorp,Banks,398820000.0
1812,EC,Ecopetrol,"Oil, Gas & Consumable Fuels",32549999999.999996
1813,ECC,Eagle Point Credit Company,Securities and Commodity Exchanges,484030000.0
1814,ECL,Ecolab,Chemicals,46270000000.0
1815,ECOM,ChannelAdvisor,Software,390390000.0
1816,ECOR,electroCore,Health Care Equipment & Supplies,22820000.0
1817,ECPG,Encore Capital Group,Consumer Finance,1420000000.0
1818,ECVT,Ecovyst,Specialty Chemicals,1350000000.0
1819,ED,Consolidated Edison,Multi-Utilities,33799999999.999996
1820,EDAP,EDAP TMS,Health Care Equipment & Supplies,217190000.0
1821,EDBL,Edible Garden AG,Food Products,14340000.0
1822,EDIT,Editas Medicine,Biotechnology,814770000.0
1823,EDN,Empresa Distribuidora y Comercializadora Norte,Electric Utilities,248590000.0
1824,EDNC,Endurance Acquisition,Blank Check / SPAC,246000000.0
1825,EDR,Endeavor Group Holdings,Entertainment,5300000000.0
1826,EDRY,EuroDry,Marine,97060000.0
1827,EDSA,Edesa Biotech,Biotechnology,28760000.0
1828,EDTK,Skillful Craftsman Education Technology,Education & Training Services,19070000.0
1829,EDTX,EdtechX Holdings Acquisition II,Blank Check / SPAC,145470000.0
1830,EDU,New Oriental Education & Technology Group,Diversified Consumer Services,2060000000.0
1831,EDUC,Educational Development,Distributors,41920000.0
1832,EE,Excelerate Energy,Energy,629840000.0
1833,EEFT,Euronet Worldwide,IT Services,5840000000.0
1834,EEIQ,Elite Education Group International,Diversified Consumer Services,19180000.0
1835,EEX,Emerald Holding,Media,219510000.0
1836,EFC,Ellington Financial,Mortgage Real Estate Investment Trust...,904890000.0
1837,EFOI,Energy Focus,Electrical Equipment,5540000.0
1838,EFSC,Enterprise Financial Services,Banks,1600000000.0
1839,EFTR,eFFECTOR Therapeutics,Biotechnology,74100000.0
1840,EFX,Equifax,Professional Services,24250000000.0
1841,EGAN,eGain,Software,299120000.0
1842,EGBN,Eagle Bancorp,Banks,1570000000.0
1843,EGGF,EG Acquisition,Blank Check / SPAC,272530000.0
1844,EGHT,"8x8, Inc.",Software,979780000.0
1845,EGLE,Eagle Bulk Shipping,Marine,873330000.0
1846,EGLX,Enthusiast Gaming Holdings,Internet Content & Information,247340000.0
1847,EGO,Eldorado Gold,Metals & Mining,1500000000.0
1848,EGP,EastGroup Properties,Equity Real Estate Investment Trusts ...,7000000000.0
1849,EGRX,Eagle Pharmaceuticals,Biotechnology,580190000.0
1850,EGY,VAALCO Energy,"Oil, Gas & Consumable Fuels",364010000.0
1851,EH,EHang Holdings,Aerospace & Defense,446150000.0
1852,EHC,Encompass Health,Health Care Providers & Services,6400000000.0
1853,EHTH,eHealth,Insurance,349040000.0
1854,EIC,Eagle Point Income Company,Securities and Commodity Exchanges,
1855,EIG,Employers Holdings,Insurance,1110000000.0
1856,EIGR,Eiger BioPharmaceuticals,Biotechnology,315050000.0
1857,EIX,Edison International,Electric Utilities,24950000000.0
1858,EJFA,EJF Acquisition,Blank Check / SPAC,354160000.0
1859,EJH,E-Home Household Service Holdings,Personal Services,18020000.0
1860,EKSO,Ekso Bionics Holdings,Health Care Equipment & Supplies,22480000.0
1861,EL,The Estee Lauder Companies,Personal Products,85900000000.0
1862,ELA,Envela,Specialty Retail,128160000.0
1863,ELAN,Elanco Animal Health,Pharmaceuticals,10560000000.0
1864,ELBM,Electra Battery Materials,Other Industrial Metals & Mining,102410000.0
1865,ELDN,Eledon Pharmaceuticals,Biotechnology,36460000.0
1866,ELEV,Elevation Oncology,Biotechnology,80110000.0
1867,ELF,e.l.f. Beauty,Personal Products,1240000000.0
1868,ELLO,Ellomay Capital,Independent Power and Renewable Elect...,316350000.0
